Property Name,Address,Total Rent,Bed,Bath,Move-In Date,Property Manager,Available Units,Neighborhood,Commission Paid
2118 Faldo Lane,2118 Faldo Lane,"$2,200",4,2,Immediate,Austin Evolution,House,Round Rock,30-60 Days Post Paperwork Completion
Greenwood Towers,1800 Lavaca,"$2,200",2,2,08/10/21,Tower Realty,708,Downtown,30-60 Days Post Paperwork Completion
G31,3016 Guadalupe,"$2,200",2,2,08/10/21,Tower Realty,203,North Campus,30-60 Days Post Paperwork Completion
G31,3016 Guadalupe,"$2,200",2,2,08/10/21,Tower Realty,217,North Campus,30-60 Days Post Paperwork Completion
Centennial,501 W 26th St,"$2,200",2,2,08/06/21,PMT,-,West Campus,30-60 Days Post Paperwork Completion
Centennial,501 W 26th St,"$2,200",2,2,Immediate,PMT,306,West Campus,30-60 Days Post Paperwork Completion
Sunchase ,3115 Helms,"$2,195",3,2,08/08/21,UT Student Condos,108,North Campus,30-60 Days Post Paperwork Completion
2502 Leon St,2502 Leon St,"$2,195",2,2,08/15/21,Respace,"200, 214, 216, 300, 314, 316, 400, 414, 416",West Campus,30-60 Days Post Paperwork Completion
400 E 30th St,400 E 30th St,"$2,195",2,2,08/07/21,Respace,104,North Campus,30-60 Days Post Paperwork Completion
W. 7th,2106 W. 7th St,"$2,155",2,2,06/07/21,Austin Manage,House,Far West,30-60 Days Post Paperwork Completion
Overlook,908 Poplar,"$2,150",3,2,08/10/21,Tower Realty,201,West Campus,30-60 Days Post Paperwork Completion
5221 Tower Trail,5221 Tower Trail,"$2,150",3,2,10/22/21,512 Living,House,East Austin,30-60 Days Post Paperwork Completion
202 1/2 W 31st St,202 1/2 W 31st St,"$2,150",3,1,08/09/21,Uptown Realty,House,Hyde Park,30-60 Days Post Paperwork Completion
Cherry Hill Townhomes,9201 Simmons Rd,"$2,150",2,2.5,06/07/21,Austin Manage,106,North Austin,30-60 Days Post Paperwork Completion
Joesph's Corner,2824 Rio Grande,"$2,100",3,2,08/16/21,Housing Scout,"1, 2, 3, 4, 5, 6, 7",West Campus,30-60 Days Post Paperwork Completion
Pecanwalk,3506 Speedway Apt 304 ,"$2,100",3,1,08/12/21,512 Living,304,North Campus,30-60 Days Post Paperwork Completion
2011 Kirksey,2011 Kirksey,"$2,100",3,2.5,08/07/21,Respace,A,Riverside,30-60 Days Post Paperwork Completion
2011 Kirksey,2011 Kirksey,"$2,100",3,2,08/07/21,Respace,B,Riverside,30-60 Days Post Paperwork Completion
Parapet ,2801 Rio Grande,"$2,100",3,2,August-21,Metro Realty,109,West Campus,30-60 Days Post Paperwork Completion
Lenox ,915 West 23rd Street,"$2,100",3,1,Immediate,PMT,C,West Campus,30-60 Days Post Paperwork Completion
Piazza Navona ,711 W. 26th ,"$2,100",2,2,August-21,Metro Realty,700,West Campus,30-60 Days Post Paperwork Completion
Benchmark,3001 Cedar St,"$2,100",2,2,08/15/21,Austin Manage,307,North Campus,30-60 Days Post Paperwork Completion
Piazza Navona,711 W 26th St.,"$2,100",2,1,08/08/21,Austin Manage,405,West Campus,30-60 Days Post Paperwork Completion
Piazza Navona,711 W 26th St.,"$2,100",2,1,09/10/21,Austin Manage,509,West Campus,30-60 Days Post Paperwork Completion
Joe Sayers,5603 Joe Sayers,"$2,095",3,2,08/18/21,University Realty,A,North Austin,30-60 Days Post Paperwork Completion
Joe Sayers,5603 Joe Sayers,"$2,095",3,2,08/18/21,University Realty,B,North Austin,30-60 Days Post Paperwork Completion
2708 St Edwards #A,2708 St Edwards #A,"$2,095",2,1,08/07/21,Respace,A,St Edwards Area/South Austin,30-60 Days Post Paperwork Completion
2708 St. Edwards #B,2708 St. Edwards #B,"$2,095",2,1,08/07/21,Respace,B,St Edwards Area/South Austin,30-60 Days Post Paperwork Completion
401 E 33rd St,401 E 33rd St,"$2,095",2,1,08/07/21,Respace,House,West Campus,30-60 Days Post Paperwork Completion
4702 Duval #B,4702 Duval #B,"$2,095",2,2,08/07/21,Respace,B,Hyde Park,30-60 Days Post Paperwork Completion
925 E 41st St,925 E 41st St,"$2,095",2,2,08/07/21,Respace,B,North Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 110 ,"$2,070",3,2,08/07/21,512 Living,110,West Campus,30-60 Days Post Paperwork Completion
Lantern Lane,2008 San Antonio,"$2,050 ",2,2,07/27/21,24th Street Realty,202,West Campus,30-60 Days Post Paperwork Completion
Lantern Lane,2008 San Antonio,"$2,050 ",2,2,07/27/21,24th Street Realty,203,West Campus,30-60 Days Post Paperwork Completion
2606 Salado St,2606 Salado St,"$2,050",2,2,08/07/21,Respace,401,West Campus,30-60 Days Post Paperwork Completion
Guadalupe 31,3016 Guadalupe,"$2,050",2,2,08/15/21,Austin Manage,206,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 211 ,"$2,040",3,2,08/06/21,512 Living,211,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 318 ,"$2,010",3,2,08/06/21,512 Living,318,West Campus,30-60 Days Post Paperwork Completion
313 W 37th St,313 W 37th St,"$2,000",3,1,08/07/21,Copland/Said,B,North Campus,30-60 Days Post Paperwork Completion
Whitestone,2500 Leon,"$2,000",3,2,08/20/21,Uptown Realty,101,West Campus,30-60 Days Post Paperwork Completion
Whitestone,2500 Leon,"$2,000",3,2,08/20/21,Uptown Realty,103,West Campus,30-60 Days Post Paperwork Completion
Whitestone,2500 Leon,"$2,000",3,2,08/20/21,Uptown Realty,104,West Campus,30-60 Days Post Paperwork Completion
Whitestone,2500 Leon,"$2,000",3,2,08/20/21,Uptown Realty,202,West Campus,30-60 Days Post Paperwork Completion
Palmetto,2110 Rio Grande,"$2,000",2,2,08/10/21,Tower Realty,301,West Campus,30-60 Days Post Paperwork Completion
Lantern Lane,2008 San Antonio,"$2,000 ",2,2,07/27/21,24th Street Realty,204,West Campus,30-60 Days Post Paperwork Completion
Piazza Navona,711 W. 26th St,"$2,000",2,2,08/07/21,UT Condo (Larry Wu),300,West Campus,30-60 Days Post Paperwork Completion
Texan Tower,2505 San Gabriel,"$2,000",2,2,08/07/21,UT Condo (Larry Wu),406,West Campus,30-60 Days Post Paperwork Completion
Croix ,806 W. 24th ,"$2,000",2,2,August-21,Metro Realty,320,West Campus,30-60 Days Post Paperwork Completion
901 W 22nd st,901 W 22nd st,"$2,000",2,2,07/01/21,Uptown Realty,104,West Campus,30-60 Days Post Paperwork Completion
711 W. 26th St,711 W. 26th St,"$2,000",2,2,08/02/21,Respace,300,West Campus,30-60 Days Post Paperwork Completion
Benchmark,3001 Cedar St,"$2,000",2,2,08/06/21,PMT,108,North Campus,30-60 Days Post Paperwork Completion
Hyde Park Oaks,114 E 31st St,"$2,000",2,2,08/01/21,PMT,210,North Campus,30-60 Days Post Paperwork Completion
Piazza Navona,711 W 26th St,"$2,000",2,2,08/08/21,PMT,404,West Campus,30-60 Days Post Paperwork Completion
Piazza Navona,711 West 26th,"$2,000",2,2,08/10/21,Tower Realty,402,West Campus,30-60 Days Post Paperwork Completion
Piazza Navona,711 West 26th,"$2,000",2,2,08/10/21,Tower Realty,504,West Campus,30-60 Days Post Paperwork Completion
2603 Parker Ln #B,2603 Parker Ln #B,"$1,995",3,2,08/07/21,Respace,B,Riverside,30-60 Days Post Paperwork Completion
2706 Parker Ln #B,2706 Parker Ln #B,"$1,995",3,2,08/07/21,Respace,B,Riverside,30-60 Days Post Paperwork Completion
Parapet,2801 Rio Grande,"$1,995",3,2,08/03/21,24th Street Realty,106,West Campus,30-60 Days Post Paperwork Completion
Valencia,2509 Pearl,"$1,995",3,2,08/07/21,Uptown Realty,2,West Campus,30-60 Days Post Paperwork Completion
Georgian ,715 W 22nd 1/2,"$1,995",2,2,08/10/21,Tower Realty,101,West Campus,30-60 Days Post Paperwork Completion
1918 Robbins Pl,1918 Robbins Pl,"$1,995",2,1,08/07/21,Respace,A,West Campus,30-60 Days Post Paperwork Completion
2502 Leon St,2502 Leon St,"$1,995",2,2,08/15/21,Respace,"201, 202, 204, 206, 208, 209, 210, 217, 302, 308, 309, 310, 315, 409",West Campus,30-60 Days Post Paperwork Completion
3211 Tom Green ,3211 Tom Green ,"$1,995",2,1,08/07/21,Respace,House,West Campus,30-60 Days Post Paperwork Completion
Robbins Place  ,1910 Robbins Pl,"$1,995",2,2,08/10/21,Austin Manage,204,West Campus,30-60 Days Post Paperwork Completion
925 E 41st St,925 E 41st St,"$1,995",2,2,08/07/21,Respace,A,North Campus,30-60 Days Post Paperwork Completion
1504 W 34th St,1504 W 34th St,"$1,995",2,1,08/07/21,Respace,A,North Campus,30-60 Days Post Paperwork Completion
Boardwalk at Robbins,1905 Robbins Place,"$1,988",2,2,07/25/22,Boardwalk at Robbins,502,West Campus,30-60 Days Post Paperwork Completion
Boardwalk at Robbins,1905 Robbins Place,"$1,988",2,2,07/25/22,Boardwalk at Robbins,503,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 218 ,"$1,980",3,2,08/06/21,512 Living,218,West Campus,30-60 Days Post Paperwork Completion
631 w 31 1/2,631 w 31 1/2,"$1,975",2,2,08/19/21,University Realty,House,North Campus,30-60 Days Post Paperwork Completion
Heritage Condo,3111 Tom Green,"$1,970",2,2,08/10/21,Austin Manage,204,North Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 111 ,"$1,950",3,2,06/05/21,512 Living,111,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 118 ,"$1,950",3,2,08/07/21,512 Living,118,West Campus,30-60 Days Post Paperwork Completion
Buena Vista,1908 San Antonio,"$1,950",2,2,08/14/21,University Realty,210,West Campus,30-60 Days Post Paperwork Completion
Buena Vista,1908 San Antonio,"$1,950",2,2,08/07/21,UT Condo (Larry Wu),202,West Campus,30-60 Days Post Paperwork Completion
St James ,2811 Rio Grande,"$1,950",2,2,August-21,Metro Realty,204,West Campus,30-60 Days Post Paperwork Completion
Waterford,2401 Leon Street,"$1,950",2,2,08/14/21,Austin Manage,101,West Campus,30-60 Days Post Paperwork Completion
Parapet ,2801 Rio Grande,"$1,950",2,2,08/03/21,24th Street Realty,107,West Campus,30-60 Days Post Paperwork Completion
5308 Downs Dr,5308 Downs Dr,"$1,925",2,2.5,Immediate,Austin Manage,1,North Austin,30-60 Days Post Paperwork Completion
Tom Green,3115 Tom Green,"$1,900",3,1,August-21,Metro Realty,402,North Campus,30-60 Days Post Paperwork Completion
Texan Shoal Creek,2502 Leon St,"$1,900",2,2,08/01/21,Housing Scout,405,West Campus,30-60 Days Post Paperwork Completion
Lantern Lane,2008 San Antonio,"$1,900 ",2,2,07/27/21,24th Street Realty,102,West Campus,30-60 Days Post Paperwork Completion
Lantern Lane,2008 San Antonio,"$1,900 ",2,2,07/27/21,24th Street Realty,103,West Campus,30-60 Days Post Paperwork Completion
Lantern Lane,2008 San Antonio,"$1,900 ",2,2,07/27/21,24th Street Realty,104,West Campus,30-60 Days Post Paperwork Completion
Texan Tower,2505 San Gabriel,"$1,900",2,2,08/01/21,24th Street Realty,211,West Campus,30-60 Days Post Paperwork Completion
608 W. 23rd,608 W. 23rd,"$1,900",2,1,08/10/21,University Realty,House,West Campus,30-60 Days Post Paperwork Completion
Croix ,806 W. 24th ,"$1,900",2,2,August-21,Metro Realty,220,West Campus,30-60 Days Post Paperwork Completion
4015 Speedway,4015 Speedway,"$1,900",2,2,08/08/21,UT Student Condos,9,North Campus,30-60 Days Post Paperwork Completion
Cherry Hill Townhomes,9201 Simmons Rd,"$1,900",2,2.5,-,Austin Manage,119,North Austin,30-60 Days Post Paperwork Completion
4514 Depew Avenue,4514 Depew Avenue,"$1,900",2,1.5,08/07/21,Copland/Said,B,Hyde Park,30-60 Days Post Paperwork Completion
St Thomas,807 W 25TH,"$1,900",2,2,08/06/21,PMT,206,West Campus,30-60 Days Post Paperwork Completion
Valencia,2509 Pearl,"$1,895",2,2,08/10/21,Tower Realty,7,West Campus,30-60 Days Post Paperwork Completion
Twelve Oaks,704 W 21st,"$1,895",2,2,08/10/21,Tower Realty,303,West Campus,30-60 Days Post Paperwork Completion
2202 Leon,2202 Leon,"$1,895",2,2,08/07/21,Respace,House,West Campus,30-60 Days Post Paperwork Completion
4500 Avenue D #A,4500 Avenue D #A,"$1,895",2,1,08/07/21,Respace,A,Hyde Park,30-60 Days Post Paperwork Completion
607 Nelray #B,607 Nelray #B,"$1,895",2,1,08/07/21,Respace,B,North Loop,30-60 Days Post Paperwork Completion
611 Nelray #A,611 Nelray #A,"$1,895",2,1,08/07/21,Respace,A,North Loop,30-60 Days Post Paperwork Completion
31st Street,203 East 31st Street,"$1,889 ",2,2,08/08/21,Marquis,"205, 209",North Campus,30-60 Days Post Paperwork Completion
31st Street,203 East 31st Street,"$1,875 ",2,2,08/08/21,Marquis,"104, 212, 312",North Campus,30-60 Days Post Paperwork Completion
Heritage Condo,3111 Tom Green,"$1,875",2,2,08/15/21,Austin Manage,304,North Campus,30-60 Days Post Paperwork Completion
Leon Street Condos,2300 Leon,"$1,850",2,2.5,08/10/21,Tower Realty,204,West Campus,30-60 Days Post Paperwork Completion
Buena Vista Condos,1908 San Antonio,"$1,850",2,2,08/15/21,Housing Scout,310,West Campus,30-60 Days Post Paperwork Completion
106 E 46th St,106 E 46th St,"$1,850",2,2,08/10/21,24th Street Realty,B,Hyde Park,30-60 Days Post Paperwork Completion
Lantern Lane,2008 San Antonio,"$1,850 ",2,1,07/27/21,24th Street Realty,105,West Campus,30-60 Days Post Paperwork Completion
Lantern Lane,2008 San Antonio,"$1,850 ",2,1,07/27/21,24th Street Realty,201,West Campus,30-60 Days Post Paperwork Completion
Croix,806 W. 24 St,"$1,850",2,2,08/15/21,University Realty,218,West Campus,30-60 Days Post Paperwork Completion
Croix,806 W. 24 St,"$1,850",2,2,08/15/21,University Realty,232,West Campus,30-60 Days Post Paperwork Completion
Croix,806 W. 24 St,"$1,850",2,2,08/15/21,University Realty,304,West Campus,30-60 Days Post Paperwork Completion
1707 Chestnut,1707 Chestnut,"$1,850",2,1,08/07/21,Respace,B,East Side,30-60 Days Post Paperwork Completion
Parapet,2801 Rio Grande,"$1,850",2,2,08/03/21,24th Street Realty,101,West Campus,30-60 Days Post Paperwork Completion
Parapet,2801 Rio Grande,"$1,850",2,2,08/03/21,24th Street Realty,207,West Campus,30-60 Days Post Paperwork Completion
620 South 1st #114,620 South 1st #114,"$1,850",2,1,07/07/21,Respace,114,South Austin,30-60 Days Post Paperwork Completion
Overlook,908 Poplar St,"$1,850",2,2,08/01/21,PMT,102,West Campus,30-60 Days Post Paperwork Completion
915 West 23rd Street,915 West 23rd Street,"$1,850",2,2,08/01/21,PMT,105,West Campus,30-60 Days Post Paperwork Completion
31st Street,203 East 31st Street,"$1,849 ",2,2,08/08/21,Marquis,307,North Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$1,825",2,2,08/12/21,Respace,205,West Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$1,825",2,2,08/12/21,Respace,211,West Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$1,825",2,2,08/12/21,Respace,305,West Campus,30-60 Days Post Paperwork Completion
601 Bellevue #B,601 Bellevue #B,"$1,825",2,1,08/07/21,Respace,B,North Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 212 ,"$1,820",2,2,08/06/21,512 Living,212,West Campus,30-60 Days Post Paperwork Completion
12203 Waters Park Rd,12203 Waters Park Rd,"$1,800",3,1,07/22/21,512 Living,House,North Loop,30-60 Days Post Paperwork Completion
Whitis,2800 Whitis,"$1,800",3,1,08/13/21,University Realty,D,West Campus,30-60 Days Post Paperwork Completion
Monticello,306 W 38th St,$875,0,1,08/21/21,The Westside Group,Studio,Hyde Park,30-60 Days Post Paperwork Completion
2213 Poquito,2213 Poquito,"$1,800",1,1,08/01/21,PMT,213,Downtown,30-60 Days Post Paperwork Completion
Texan Tower,2505 San Gabriel,"$1,800",2,2,08/10/21,Tower Realty,309,West Campus,30-60 Days Post Paperwork Completion
Texan Tower,2505 San Gabriel,"$1,800",2,2,08/10/21,Tower Realty,311,West Campus,30-60 Days Post Paperwork Completion
Orange Tree,2529 Rio Grande,"$1,800",2,1.5,08/10/21,Tower Realty,91,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W 24th,"$1,800",2,2,08/10/21,Tower Realty,203,West Campus,30-60 Days Post Paperwork Completion
Lantern Lane,2008 San Antonio,"$1,800 ",2,1,07/27/21,24th Street Realty,205,West Campus,30-60 Days Post Paperwork Completion
Lantern Lane,2008 San Antonio,"$1,800 ",2,1,07/27/21,24th Street Realty,303,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 104 ,"$1,800",2,2,08/07/21,512 Living,104,West Campus,30-60 Days Post Paperwork Completion
House/Duplex,4507 Avenue F Unit B ,"$1,800",2,1,07/29/21,512 Living,B,Hyde Park,30-60 Days Post Paperwork Completion
House/Duplex,5402 Martin Ave Unit B ,"$1,800",2,1,08/12/21,512 Living,B,North Loop,30-60 Days Post Paperwork Completion
Windtree,106 E 30th,"$1,800",2,1,08/10/21,Austin Manage,101,North Campus,30-60 Days Post Paperwork Completion
1908 San Antonio,1908 San Antonio,"$1,800",2,2,08/06/21,Respace,202,West Campus,30-60 Days Post Paperwork Completion
813 W. 30th,813 W. 30th,"$1,800",2,1,August-21,Metro Realty,House,North Campus,30-60 Days Post Paperwork Completion
Sunchase ,3115 Helms Street,"$1,800",2,2,08/15/21,Austin Manage,102,North Campus,30-60 Days Post Paperwork Completion
3111 Tom Green,3111 Tom Green,"$1,800",2,2,08/15/21,PMT,303,North Campus,30-60 Days Post Paperwork Completion
Greenwood Towers,1800 Lavaca,"$1,800",2,2,Immediate,PMT,207,West Campus,30-60 Days Post Paperwork Completion
12 Oaks,704 W 21st ,"$1,800",2,2,08/03/21,PMT,304,West Campus,30-60 Days Post Paperwork Completion
31st Condo,203 E 31st,"$1,800",2,2,08/10/21,Tower Realty,203,North Campus,30-60 Days Post Paperwork Completion
Treehouse,2612 San Pedro,"$1,795",3,2,08/07/21,Uptown Realty,"104, 105",West Campus,30-60 Days Post Paperwork Completion
Wedgewood,2802 Nueces,"$1,795",2,1,08/10/21,Tower Realty,312,West Campus,30-60 Days Post Paperwork Completion
Westview,2804 Rio Grande,"$1,795",2,2,08/10/21,Tower Realty,308,West Campus,30-60 Days Post Paperwork Completion
Centennial,501 W 26th St ,"$1,795",2,1,08/10/21,Tower Realty,102,West Campus,30-60 Days Post Paperwork Completion
Wynnwood,711 W 21st,"$1,795",2,2,08/10/21,Tower Realty,101,West Campus,30-60 Days Post Paperwork Completion
1711 Burton Dr,1711 Burton Dr,"$1,795",2,1.5,08/07/21,Respace,B,Riverside,30-60 Days Post Paperwork Completion
1916 Robbins,1916 Robbins,"$1,795",2,1,08/07/21,Respace,House,West Campus,30-60 Days Post Paperwork Completion
301 E 32nd St,301 E 32nd St,"$1,795",2,1,08/07/21,Respace,House,North Campus,30-60 Days Post Paperwork Completion
3111 Grooms,3111 Grooms,"$1,795",2,1,08/07/21,Respace,C,North Campus,30-60 Days Post Paperwork Completion
Windtree ,106 E. 30th ,"$1,795",2,2,August-21,Metro Realty,307,North Campus,30-60 Days Post Paperwork Completion
Robbins Place,1910 Robbins Place,"$1,795",2,2,August-21,Metro Realty,203,West Campus,30-60 Days Post Paperwork Completion
Croix,806 W 24th,"$1,795",2,2,08/07/21,Respace,"202, 229",West Campus,30-60 Days Post Paperwork Completion
Westridge,914 W 26th,"$1,795",2,2,08/10/21,Tower Realty,206,West Campus,30-60 Days Post Paperwork Completion
Croix,806 W 24th St,"$1,795",2,2,08/08/21,UT Student Condos,327,West Campus,30-60 Days Post Paperwork Completion
San Pedro Square,2704 San Pedro St,"$1,795",2,2.5,08/07/21,PMT,2,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 312,"$1,780",2,2,08/06/21,512 Living,312,West Campus,30-60 Days Post Paperwork Completion
Vanderbilt,912 West 22nd Street,"$1,775 ",2,2,08/08/21,Marquis,2X2,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 109 ,"$1,760",2,2,08/07/21,512 Living,109,West Campus,30-60 Days Post Paperwork Completion
Escala at 34th,301 E 34th,"$1,750",2,1,08/10/21,Tower Realty,105,North Campus,30-60 Days Post Paperwork Completion
Preservation Square,904 W 21st,"$1,750",2,2,08/10/21,Tower Realty,112,West Campus,30-60 Days Post Paperwork Completion
Sunchase,3115 Helms,"$1,750",2,2,08/14/21,University Realty,302,North Campus,30-60 Days Post Paperwork Completion
Vanderbilt,912 West 22nd Street,"$1,750 ",2,2,08/08/21,Marquis,"204, 308",West Campus,30-60 Days Post Paperwork Completion
Windtree ,106 E. 30th,"$1,750",2,2,August-21,Metro Realty,210,North Campus,30-60 Days Post Paperwork Completion
Robbins Place ,1910 Robbins Place,"$1,750",2,2,August-21,Metro Realty,208,West Campus,30-60 Days Post Paperwork Completion
610 Franklin,610 Franklin,"$1,750",2,1,08/07/21,Uptown Realty,B,North Loop,30-60 Days Post Paperwork Completion
610 Franklin,610 Franklin,"$1,750",2,1,08/07/21,Uptown Realty,C,North Loop,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$1,750",2,2,08/19/21,Austin Investments,111,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$1,750",2,2,08/19/21,Austin Investments,112,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$1,750",2,2,08/19/21,Austin Investments,210,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$1,750",2,2,08/19/21,Austin Investments,211,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$1,750",2,2,08/19/21,Austin Investments,212,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$1,750",2,2,08/19/21,Austin Investments,311,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$1,750",2,2,08/19/21,Austin Investments,313,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$1,750",2,2,08/19/21,Austin Investments,410,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$1,750",2,2,08/19/21,Austin Investments,413,West Campus,30-60 Days Post Paperwork Completion
2609 San Pedro,2609 San Pedro,"$1,750",2,1,-,Joseph Companies,B,West Campus,30-60 Days Post Paperwork Completion
2300 Leon Condominiums,2300 Leon Street,"$1,750",2,2,07/30/21,PMT,202,West Campus,30-60 Days Post Paperwork Completion
Palladin,712 W 21st St,"$1,750",2,2,07/01/21,PMT,303,West Campus,30-60 Days Post Paperwork Completion
Camino Real,2810 Salado,"$1,749 ",2,2,08/13/21,Marquis,-,West Campus,30-60 Days Post Paperwork Completion
San Remo Apts,2204 San Gabriel St,"$1,745",2,1.5,08/07/21,"Burlington Ventures, Inc.",2X1.5,West Campus,30-60 Days After Move-In
Lonestar Lofts,2408 Leon St Apt 202 ,"$1,740",2,2,08/06/21,512 Living,202,West Campus,30-60 Days Post Paperwork Completion
Somerset,2216 San Gabriel,"$1,725",2,2,08/14/21,University Realty,108,West Campus,30-60 Days Post Paperwork Completion
Somerset,2216 San Gabriel,"$1,725",2,2,08/14/21,University Realty,308,West Campus,30-60 Days Post Paperwork Completion
Camino Real,2810 Salado,"$1,725 ",2,2,08/13/21,Marquis,319,West Campus,30-60 Days Post Paperwork Completion
Camino Real,2810 Salado,"$1,725 ",2,2,08/13/21,Marquis,117,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 310 ,"$1,720",2,2,08/06/21,512 Living,310,West Campus,30-60 Days Post Paperwork Completion
Partridge Condos,3011 Fruth,"$1,700",1,1,06/01/21,PMT,102,North Campus,30-60 Days Post Paperwork Completion
Stoneleigh,2409 Leon,"$1,700",2,2,08/01/21,24th Street Realty,102,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 205 ,"$1,700",2,2,08/06/21,512 Living,205,West Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$1,700",2,2,08/12/21,Respace,201,West Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$1,700",2,2,08/12/21,Respace,214,West Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$1,700",2,2,08/12/21,Respace,215,West Campus,30-60 Days Post Paperwork Completion
Stoneleigh ,2409 Leon,"$1,700",2,2,August-21,Metro Realty,110,West Campus,30-60 Days Post Paperwork Completion
Winchester ,2414 Longview,"$1,700",2,2,August-21,Metro Realty,306,West Campus,30-60 Days Post Paperwork Completion
2300 Leon Street,2300 Leon Street,"$1,700",2,2,08/02/21,Austin Manage,101,West Campus,30-60 Days Post Paperwork Completion
921 Keith,921 Keith,"$1,700",2,1,08/13/21,University Realty,House,North Campus,30-60 Days Post Paperwork Completion
Lenox ,915 West 23rd Street,"$1,700",2,2,08/05/21,Austin Manage,101,West Campus,30-60 Days Post Paperwork Completion
1908 San Antonio,1908 San Antonio,"$1,700",2,1,08/06/21,PMT,314,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W 24th,"$1,700",2,2,08/02/21,PMT,208,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W 24th,"$1,700",2,2,08/06/21,PMT,202,West Campus,30-60 Days Post Paperwork Completion
808 W 29th St,808 W 29th St,"$1,700",2,2,08/06/21,PMT,207,North Campus,30-60 Days Post Paperwork Completion
Creekridge Condos,4409 Duval,"$1,700",2,2,08/01/21,PMT,103,Hyde Park,30-60 Days Post Paperwork Completion
West Place,2706 Salado,"$1,695",2,2,08/10/21,Tower Realty,204,West Campus,30-60 Days Post Paperwork Completion
West Place ,2706 Salado,"$1,695",2,2,08/10/21,Tower Realty,206,West Campus,30-60 Days Post Paperwork Completion
Wedgewood,2802 Nueces,"$1,695",2,1,08/10/21,Tower Realty,311,West Campus,30-60 Days Post Paperwork Completion
Valencia,2509 Pearl St,"$1,695",2,2,08/07/21,Housing Scout,8,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W. 24 St,"$1,695",2,2,08/07/21,University Realty,101,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W. 24 St,"$1,695",2,2,08/07/21,University Realty,210,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W. 24 St,"$1,695",2,2,08/07/21,University Realty,211,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W. 24 St,"$1,695",2,2,08/07/21,University Realty,212,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W. 24 St,"$1,695",2,2,08/07/21,University Realty,213,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W. 24 St,"$1,695",2,2,08/07/21,University Realty,214,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W. 24 St,"$1,695",2,2,08/07/21,University Realty,302,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W. 24 St,"$1,695",2,2,08/07/21,University Realty,303,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W. 24 St,"$1,695",2,2,08/07/21,University Realty,304,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W. 24 St,"$1,695",2,2,08/07/21,University Realty,306,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W. 24 St,"$1,695",2,2,08/07/21,University Realty,307,West Campus,30-60 Days Post Paperwork Completion
Stoneleigh ,2409 Leon,"$1,695",2,2,August-21,Metro Realty,101,West Campus,30-60 Days Post Paperwork Completion
