Property Name,Address,Total Rent,Bed,Bath,Move-In Date,Property Manager,Available Units,Neighborhood,Commission Paid
Casa De Salado,2610 Salado,$925,1,1,08/15/21,University Realty,107,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2610 Salado,$925,1,1,08/15/21,University Realty,202,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2610 Salado,$925,1,1,08/15/21,University Realty,208,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2610 Salado,$925,1,1,08/15/21,University Realty,209,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2612 Salado,$925,1,1,08/15/21,University Realty,101,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2612 Salado,$925,1,1,08/15/21,University Realty,103,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2612 Salado,$925,1,1,08/15/21,University Realty,104,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2612 Salado,$925,1,1,08/15/21,University Realty,105,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2612 Salado,$925,1,1,08/15/21,University Realty,106,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2612 Salado,$925,1,1,08/15/21,University Realty,109,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2612 Salado,$925,1,1,08/15/21,University Realty,111,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2612 Salado,$925,1,1,08/15/21,University Realty,113,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2612 Salado,$925,1,1,08/15/21,University Realty,114,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2612 Salado,$925,1,1,08/15/21,University Realty,204,West Campus,30-60 Days Post Paperwork Completion
Guadalupe Square ,3316 Guadalupe,$925,1,1,August-21,Metro Realty,304,North Campus,30-60 Days Post Paperwork Completion
Villa Solano,620 W 51st St,$925,1,1,07/27/21,24th Street Realty,"101, 103, 104, 201, 204",North Loop,30-60 Days Post Paperwork Completion
Envoy,2108 San Gabriel,$925,1,1,08/21/21,The Westside Group,1-1,West Campus,30-60 Days Post Paperwork Completion
Rio Grande Square,2800 Rio Grande St,$925,1,1,08/21/21,The Westside Group,1-1,West Campus,30-60 Days Post Paperwork Completion
Guadalupe Square,3316 Guadalupe,$925,1,1,08/02/21,PMT,21,West Campus,30-60 Days Post Paperwork Completion
University Quarters,2803 Hemphill Park,$915 ,1,1,06/05/21,Marquis,C305,West Campus,30-60 Days Post Paperwork Completion
Montage,2812 Rio Grande,$905,1,1,08/21/21,The Westside Group,1-1,West Campus,30-60 Days Post Paperwork Completion
The Palms,105 E 38th,$900,0,1,07/27/21,24th Street Realty,"201, 203, 301, 303",North Campus,30-60 Days Post Paperwork Completion
Bent Tree,202 E. 32nd ST,$900,0,1,08/06/21,PMT,4,West Campus,30-60 Days Post Paperwork Completion
Escala,1000 W. 26th St,$900,0,1,07/28/21,PMT,104,West Campus,30-60 Days Post Paperwork Completion
Guadalupe Square ,3316 Guadalupe,$900,1,1,August-21,Metro Realty,211,North Campus,30-60 Days Post Paperwork Completion
Mark V,3914 Avenue D Apt 102 ,"$1,425",1,1,06/18/21,512 Living,102,Hyde Park,30-60 Days Post Paperwork Completion
Guadalupe Place,3000 Guadalupe,$900,1,1,08/03/21,PMT,101,West Campus,30-60 Days Post Paperwork Completion
Barranca Square,910 W 26th St,$895,0,1,08/21/21,The Westside Group,Studio,West Campus,30-60 Days Post Paperwork Completion
Campus Crossing,300 E. 30th St.,$895,1,1,08/20/21,SSPM,108,North Campus,30-60 Days Post Paperwork Completion
Campus Crossing,300 E. 30th St.,$895,1,1,08/20/21,SSPM,109,North Campus,30-60 Days Post Paperwork Completion
Melroy,3408 Speedway Dr,$895,1,1,08/21/21,The Westside Group,1-1,North Campus,30-60 Days Post Paperwork Completion
Oakplace,621 W. 37th St,$885,1,1,08/12/21,University Realty,102,North Campus,30-60 Days Post Paperwork Completion
Oakplace,621 W. 37th St,$885,1,1,08/12/21,University Realty,203,North Campus,30-60 Days Post Paperwork Completion
Mark V,3914 Avenue D Apt 108 ,"$1,425",1,1,08/13/21,512 Living,108,Hyde Park,30-60 Days Post Paperwork Completion
2307 Rio Grande,2307 Rio Grande,$875,1,1,08/12/21,University Realty,B,West Campus,30-60 Days Post Paperwork Completion
908 W. 22nd,908 W. 22nd,$875,1,1,08/11/21,University Realty,B,West Campus,30-60 Days Post Paperwork Completion
908 W. 22nd,908 W. 22nd,$875,1,1,08/11/21,University Realty,F,West Campus,30-60 Days Post Paperwork Completion
917 Keith,917 Keith,$875,1,1,08/13/21,University Realty,D,North Campus,30-60 Days Post Paperwork Completion
514 E 38 1/2 St  #C,514 E 38 1/2 St  #C,"$1,800",0,1,08/07/21,Respace,C,Hyde Park,30-60 Days Post Paperwork Completion
502 Elmwood,502 Elmwood,$865,0,1,08/06/21,SSPM,108,North Campus,30-60 Days Post Paperwork Completion
502 Elmwood,502 Elmwood,$865,0,1,08/06/21,SSPM,208,North Campus,30-60 Days Post Paperwork Completion
Pick & Gavel,105 E. 31st Street,$865,0,1,08/04/21,Joseph Companies,"101, 103, 104, 105, 106, 107, 201, 203, 204, 205, 206, 207",North Campus,30-60 Days Post Paperwork Completion
906 W 22nd St,906 W 22nd St,$850,0,1,08/01/21,512 Living,9,West Campus,30-60 Days Post Paperwork Completion
Escala,1000 W. 26th St,$850,0,1,08/01/21,PMT,101,West Campus,30-60 Days Post Paperwork Completion
Bent Tree,202 E. 32nd ST,$850,0,1,08/06/21,PMT,2,North Campus,30-60 Days Post Paperwork Completion
Guadalupe Place,3000 Guadalupe,$850,1,1,08/07/21,Austin Evolution,208,North Campus,30-60 Days Post Paperwork Completion
Star West,2408 Longview,$850,2,1,Immediate,PMT,208,West Campus,30-60 Days Post Paperwork Completion
Maiden Lane,630 Maiden Ln,$835,0,1,08/12/21,University Realty,C,North Campus,30-60 Days Post Paperwork Completion
Maiden Lane,630 Maiden Ln,$835,0,1,08/12/21,University Realty,D,North Campus,30-60 Days Post Paperwork Completion
Maiden Lane,630 Maiden Ln,$835,0,1,08/12/21,University Realty,E,North Campus,30-60 Days Post Paperwork Completion
Maiden Lane,630 Maiden Ln,$835,0,1,08/12/21,University Realty,G,North Campus,30-60 Days Post Paperwork Completion
Maiden Lane,630 Maiden Ln,$835,0,1,08/12/21,University Realty,I,North Campus,30-60 Days Post Paperwork Completion
Maiden Lane,630 Maiden Ln,$835,0,1,08/12/21,University Realty,K,North Campus,30-60 Days Post Paperwork Completion
Montage,2812 Rio Grande,$825,1,1,08/21/21,The Westside Group,1-1,West Campus,30-60 Days Post Paperwork Completion
908 W. 22nd,908 W. 22nd,$800,1,1,08/11/21,University Realty,A,West Campus,30-60 Days Post Paperwork Completion
1009 W. 25 1/2,1009 W. 25 1/2,$785,0,1,08/10/21,University Realty,C,West Campus,30-60 Days Post Paperwork Completion
Campus Crossing,300 E. 30th St.,$775,0,1,08/06/21,SSPM,"104, 303",North Campus,30-60 Days Post Paperwork Completion
500 Elmwood,500 Elmwood,$775,0,1,08/13/21,SSPM,3,North Campus,30-60 Days Post Paperwork Completion
500 Elmwood,500 Elmwood,$775,0,1,08/13/21,SSPM,6,North Campus,30-60 Days Post Paperwork Completion
Campus Crossing,300 E. 30th St.,$735,0,1,08/20/21,SSPM,101,North Campus,30-60 Days Post Paperwork Completion
Campus Crossing,300 E. 30th St.,$735,0,1,08/20/21,SSPM,203,North Campus,30-60 Days Post Paperwork Completion
Campus Crossing,300 E. 30th St.,$735,0,1,08/20/21,SSPM,207,North Campus,30-60 Days Post Paperwork Completion
Campus Crossing,300 E. 30th St.,$735,0,1,08/20/21,SSPM,306,North Campus,30-60 Days Post Paperwork Completion
Campus Crossing,300 E. 30th St.,$735,0,1,08/20/21,SSPM,202,North Campus,30-60 Days Post Paperwork Completion
500 Elmwood,500 Elmwood,$735,0,1,08/13/21,SSPM,7,North Campus,30-60 Days Post Paperwork Completion
500 Elmwood,500 Elmwood,$735,0,1,08/13/21,SSPM,11,North Campus,30-60 Days Post Paperwork Completion
Campus Crossing,300 E. 30th St.,$735,1,1,08/20/21,SSPM,105,North Campus,30-60 Days Post Paperwork Completion
908 W. 22nd,908 W. 22nd,$725,0,1,08/11/21,University Realty,E,West Campus,30-60 Days Post Paperwork Completion
908 W. 22nd,908 W. 22nd,$710,0,1,08/11/21,University Realty,C,West Campus,30-60 Days Post Paperwork Completion
Whitis,2800 Whitis,$635,Room,1,08/13/21,University Realty,3,West Campus,30-60 Days Post Paperwork Completion
Whitis,2800 Whitis,$600,Room,1,08/13/21,University Realty,12,West Campus,30-60 Days Post Paperwork Completion
Whitis,2800 Whitis,$585,Room,1,08/13/21,University Realty,1,West Campus,30-60 Days Post Paperwork Completion
Whitis,2800 Whitis,$545,Room,1,08/13/21,University Realty,6,West Campus,30-60 Days Post Paperwork Completion
Whitis,2800 Whitis,$545,Room,1,08/13/21,University Realty,8,West Campus,30-60 Days Post Paperwork Completion
Whitis,2800 Whitis,$545,Room,1,08/13/21,University Realty,9,West Campus,30-60 Days Post Paperwork Completion
Whitis,2800 Whitis,$510,Room,1,08/13/21,University Realty,5,West Campus,30-60 Days Post Paperwork Completion
